rainfall,runoff
8.34,2.28E+03
9.92,2.48E+03
0.413,2.29E+03
0,2.19E+03
0.001,2.10E+03
0,2.03E+03
9.32,2.04E+03
14.1,2.09E+03
0.076,1.97E+03
14.5,2.07E+03
0.235,1.93E+03
13.8,2.00E+03
7.31,2.07E+03
0,1.93E+03
15.6,2.15E+03
8.74,2.15E+03
14.7,6.82E+03
14.8,4.57E+03
19.6,4.35E+03
0,2.04E+03
0.081,1.76E+03
0,1.65E+03
0.001,1.60E+03
0,1.59E+03
0.066,1.58E+03
0.083,1.57E+03
0.195,1.56E+03
14,1.56E+03
13,1.59E+03
13.4,5.43E+03
0,1.88E+03
0.076,1.50E+03
0,1.31E+03
0,1.21E+03
0.544,1.16E+03
0,1.13E+03
0.271,1.11E+03
0,1.09E+03
0,1.08E+03
0,1.06E+03
7.74,1.04E+03
0,1.02E+03
8.54,1.00E+03
0,919
0,899
0,887
0,876
0,864
0,851
0,836
0,821
0,804
0,787
0,770
0,752
0,735
0,718
0.175,701
2.41,684
0,668
2.36,653
0,637
0,622
0,607
0,593
0,578
0,565
0,551
0,538
0,526
0,512
0,500
0,489
0,478
0,460
0,445
0,432
0,419
0,406
0,395
0,384
0,373
2.75,363
0,354
2.44,344
0,335
3.19,326
0,310
0,299
0,289
0,279
0,270
2.89,261
0.236,253
0.229,246
0,238
0.299,231
0,225
5.94,219
8.46,213
0,207
0,202
0,196
0,191
0,186
0,181
1.38,176
0.012,172
0,167
0,163
5.17,160
0,156
0,152
0,148
0,145
8.26,146
0,140
0,137
0,133
0,130
0,126
0,123
0,120
0,117
0,114
0,111
2.44,109
0,106
2.91,104
0,102
0,99.5
0.833,97.2
1.08,95.2
0,93.3
0,91.7
1.09,90
0,87.8
1.24,86.5
0,84.7
9.42,82.9
0,81.3
9.88,79.8
10.6,79
8.73,77.3
5.59,76.2
10.1,75.3
4.75,73.8
0,72.7
0,71.2
1.04,70.2
0,68.9
1.3,67.9
0,66.7
0,65.7
2.83,64.3
8.62,63.5
0,62.2
0.125,61.1
0,60.1
4.47,59.3
0,58
0.146,57.2
0,56.1
0.2,55.4
9.13,54.7
0.072,53.8
9.84,53.3
0.17,52.6
0.134,51.9
0.299,51.5
0,50.8
0.15,50.2
1.73,49.6
0,49.2
0,48.4
0,48.1
9.17,47.4
0,47
2.81,46.5
0.154,46
0.11,45.5
9.51,45
0.088,44.8
9.07,44.2
0.142,44
0.129,43.7
0.34,43.2
0.18,43
0.007,42.7
0.091,42.3
0.451,42.3
0,41.9
0.423,41.9
1.08,41.8
0.34,41.6
3.44,41.8
2.27,41.9
0.345,41.8
0.268,41.7
1.64,42
0,42.1
1.01,42.5
0,42.6
0.537,42.9
2.89,43.4
8.55,43.6
1.31,44.1
8.11,44.5
0.171,44.9
7.71,45.2
0.62,45.8
0.561,46.1
1.2,46.9
1.25,47.4
3.17,48.2
0,49
0.128,50.4
2.63,51.9
0.201,53.8
1.29,56.1
2.7,58.7
0.064,62
0.453,65.6
0,69.6
7.45,73.9
0,78.7
0.281,83.6
0,88.9
1.1,94.1
0.422,99.5
0.087,105
0.847,110
0.361,115
0.192,120
0,124
0.284,130
0,134
4.2,139
2.76,144
4.06,149
6.78,155
0,160
0.301,166
3.22,172
0.814,178
1.6,184
0.13,191
1.44,198
1.14,206
0.886,215
6.09,225
1.51,237
0,250
1.96,266
1.55,282
0,301
1.28,320
1.48,339
0.11,358
0,375
0.266,390
0,402
0.1,412
0,418
0,422
0.228,422
0,420
5.8,416
4.77,410
0,402
2.45,393
5.69,384
1.87,374
4.31,363
1.9,353
9.66,344
0,334
10,327
9.67,344
